冷启动,193.25, 172.08, 21.17
热启动,156.38, 149.25, 7.12
登录页,165.38, 156.45, 8.93
上滑预览,212.88, 203.34, 9.53
登录成功,185.62, 172.17, 13.46
首页关注,109.62, 104.20, 5.43
下拉刷新,154.12, 146.64, 7.48
上拉加载,141.62, 131.47, 10.16
下拉刷新2,162.12, 152.29, 9.83
上拉加载2,138.25, 132.88, 5.37
广场预览,242.25, 232.37, 9.88
滑动预览,337.12, 318.33, 18.79
评论页面,159.75, 153.39, 6.36
关闭评论,139.12, 131.77, 7.35
发送评论,178.62, 157.48, 21.14
调起分享,107.62, 102.36, 5.27
举报页面,168.25, 157.66, 10.59
页面返回,138.62, 132.87, 5.75
我的关注,160.88, 153.91, 6.96
我的关注返回,135.75, 129.38, 6.37
我的粉丝,156.62, 140.84, 15.78
粉丝返回,110.12, 105.07, 5.05
个人主页,180.12, 169.08, 11.04
主页返回,121.62, 116.37, 5.26
退出登录,127.75, 122.33, 5.42
冷启动,120.88, 114.40, 6.48
冷启动,129.38, 123.04, 6.33
冷启动,138.12, 128.27, 9.85
冷启动,163.62, 150.95, 12.67
冷启动,157.62, 149.51, 8.11
